forgetting;lifetimes;snapshot_interval;mu;theta;lambda;units
exponential;720;5;0.5;0.2;0.001272626016491882;60
exponential;720;5;0.8;0.1;0.0028881132523331052;60
exponential;720;5;0.8;0.2;0.001925408834888737;60
exponential;720;10;0.3;0.1;0.00152585040092793;60
exponential;720;10;0.3;0.2;0.0005631459834835614;60
exponential;720;10;0.5;0.1;0.0022353304339362504;60
exponential;720;10;0.5;0.2;0.001272626016491882;60
exponential;720;10;0.8;0.1;0.0028881132523331052;60
exponential;720;10;0.8;0.2;0.001925408834888737;60
exponential;720;30;0.3;0.1;0.00152585040092793;60
exponential;720;30;0.3;0.2;0.0005631459834835614;60
exponential;720;30;0.5;0.1;0.0022353304339362504;60
exponential;720;30;0.5;0.2;0.001272626016491882;60
exponential;720;30;0.8;0.1;0.0028881132523331052;60
exponential;720;30;0.8;0.2;0.001925408834888737;60
exponential;720;60;0.3;0.1;0.00152585040092793;60
exponential;720;60;0.3;0.2;0.0005631459834835614;60
exponential;720;60;0.5;0.1;0.0022353304339362504;60
exponential;720;60;0.5;0.2;0.001272626016491882;60
exponential;720;60;0.8;0.1;0.0028881132523331052;60
exponential;720;60;0.8;0.2;0.001925408834888737;60
exponential;720;120;0.3;0.1;0.00152585040092793;60
exponential;720;120;0.3;0.2;0.0005631459834835614;60
exponential;720;120;0.5;0.1;0.0022353304339362504;60
exponential;720;120;0.5;0.2;0.001272626016491882;60
exponential;720;120;0.8;0.1;0.0028881132523331052;60
exponential;720;120;0.8;0.2;0.001925408834888737;60
exponential;720;180;0.3;0.1;0.00152585040092793;60
exponential;720;180;0.3;0.2;0.0005631459834835614;60
exponential;720;180;0.5;0.1;0.0022353304339362504;60
exponential;720;180;0.5;0.2;0.001272626016491882;60
exponential;720;180;0.8;0.1;0.0028881132523331052;60
exponential;720;180;0.8;0.2;0.001925408834888737;60
exponential;720;240;0.3;0.1;0.00152585040092793;60
exponential;720;240;0.3;0.2;0.0005631459834835614;60
exponential;720;240;0.5;0.1;0.0022353304339362504;60
exponential;720;240;0.5;0.2;0.001272626016491882;60
exponential;720;240;0.8;0.1;0.0028881132523331052;60
exponential;720;240;0.8;0.2;0.001925408834888737;60
exponential;720;300;0.3;0.1;0.00152585040092793;60
exponential;720;300;0.3;0.2;0.0005631459834835614;60
exponential;720;300;0.5;0.1;0.0022353304339362504;60
exponential;720;300;0.5;0.2;0.001272626016491882;60
exponential;720;300;0.8;0.1;0.0028881132523331052;60
exponential;720;300;0.8;0.2;0.001925408834888737;60
exponential;720;360;0.3;0.1;0.00152585040092793;60
exponential;720;360;0.3;0.2;0.0005631459834835614;60
exponential;720;360;0.5;0.1;0.0022353304339362504;60
exponential;720;360;0.5;0.2;0.001272626016491882;60
exponential;720;360;0.8;0.1;0.0028881132523331052;60
exponential;720;360;0.8;0.2;0.001925408834888737;60
exponential;1440;0;0.3;0.1;0.000762925200463965;60
exponential;1440;0;0.3;0.2;0.0002815729917417807;60
exponential;1440;0;0.5;0.1;0.0011176652169681252;60
exponential;1440;0;0.5;0.2;0.000636313008245941;60
exponential;1440;0;0.8;0.1;0.0014440566261665526;60
exponential;1440;0;0.8;0.2;0.0009627044174443685;60
exponential;1440;5;0.3;0.1;0.000762925200463965;60
exponential;1440;5;0.3;0.2;0.0002815729917417807;60
exponential;1440;5;0.5;0.1;0.0011176652169681252;60
exponential;1440;5;0.5;0.2;0.000636313008245941;60
exponential;1440;5;0.8;0.1;0.0014440566261665526;60
exponential;1440;5;0.8;0.2;0.0009627044174443685;60
exponential;1440;10;0.3;0.1;0.000762925200463965;60
exponential;1440;10;0.3;0.2;0.0002815729917417807;60
exponential;1440;10;0.5;0.1;0.0011176652169681252;60
exponential;1440;10;0.5;0.2;0.000636313008245941;60
exponential;1440;10;0.8;0.1;0.0014440566261665526;60
exponential;1440;10;0.8;0.2;0.0009627044174443685;60
exponential;1440;30;0.3;0.1;0.000762925200463965;60
exponential;1440;30;0.3;0.2;0.0002815729917417807;60
exponential;1440;30;0.5;0.1;0.0011176652169681252;60
exponential;1440;30;0.5;0.2;0.000636313008245941;60
exponential;1440;30;0.8;0.1;0.0014440566261665526;60
exponential;1440;30;0.8;0.2;0.0009627044174443685;60
exponential;1440;60;0.3;0.1;0.000762925200463965;60
exponential;1440;60;0.3;0.2;0.0002815729917417807;60
exponential;1440;60;0.5;0.1;0.0011176652169681252;60
exponential;1440;60;0.5;0.2;0.000636313008245941;60
exponential;1440;60;0.8;0.1;0.0014440566261665526;60
exponential;1440;60;0.8;0.2;0.0009627044174443685;60
exponential;1440;120;0.3;0.1;0.000762925200463965;60
exponential;1440;120;0.3;0.2;0.0002815729917417807;60
exponential;1440;120;0.5;0.1;0.0011176652169681252;60
exponential;1440;120;0.5;0.2;0.000636313008245941;60
exponential;1440;120;0.8;0.1;0.0014440566261665526;60
exponential;1440;120;0.8;0.2;0.0009627044174443685;60
exponential;1440;180;0.3;0.1;0.000762925200463965;60
exponential;1440;180;0.3;0.2;0.0002815729917417807;60
exponential;1440;180;0.5;0.1;0.0011176652169681252;60
exponential;1440;180;0.5;0.2;0.000636313008245941;60
exponential;1440;180;0.8;0.1;0.0014440566261665526;60
exponential;1440;180;0.8;0.2;0.0009627044174443685;60
exponential;1440;240;0.3;0.1;0.000762925200463965;60
exponential;1440;240;0.3;0.2;0.0002815729917417807;60
exponential;1440;240;0.5;0.1;0.0011176652169681252;60
exponential;1440;240;0.5;0.2;0.000636313008245941;60
exponential;1440;240;0.8;0.1;0.0014440566261665526;60
exponential;1440;240;0.8;0.2;0.0009627044174443685;60
exponential;1440;300;0.3;0.1;0.000762925200463965;60
exponential;1440;300;0.3;0.2;0.0002815729917417807;60
exponential;1440;300;0.5;0.1;0.0011176652169681252;60
exponential;1440;300;0.5;0.2;0.000636313008245941;60
exponential;1440;300;0.8;0.1;0.0014440566261665526;60
exponential;1440;300;0.8;0.2;0.0009627044174443685;60
exponential;1440;360;0.3;0.1;0.000762925200463965;60
exponential;1440;360;0.3;0.2;0.0002815729917417807;60
exponential;1440;360;0.5;0.1;0.0011176652169681252;60
exponential;1440;360;0.5;0.2;0.000636313008245941;60
exponential;1440;360;0.8;0.1;0.0014440566261665526;60
exponential;1440;360;0.8;0.2;0.0009627044174443685;60
